student_id,skills
1,firewall python Selenium neural networks
2,network security database management
3,Unix SQL Docker Spark
4,python SQL
5,game development Flask
6,python Windows Server mobile app development ethical hacking
7,Unix Hadoop game development Java
8,Selenium machine learning cloud computing Spark
9,Selenium AWS Unity
10,database management SQL IoT development
11,agile Kubernetes
12,data analysis C++ Unix
13,IoT development SQL
14,software testing cryptography blockchain Arduino
15,mobile app development web development data analysis penetration testing
16,software testing SQL
17,database management IoT development
18,C++ cryptography Arduino
19,Arduino agile
20,penetration testing Selenium
21,ethical hacking web development Kubernetes cryptography
22,Unix neural networks
23,C++ IoT development
24,cryptography Windows Server game development
25,R javascript game development data analysis
26,big data Selenium web development
27,VMware R
28,ethical hacking Django
29,ethical hacking C++ AWS
30,network security neural networks Windows Server
31,TensorFlow Docker Spark big data
32,game development network security Flask
33,SQL javascript firewall
34,cryptography cloud computing
35,Spark Kubernetes web development IoT development
36,Kubernetes C++ Linux
37,Windows Server machine learning firewall
38,Unix Selenium ethical hacking Tableau
39,software testing Spark
40,C++ machine learning
41,TensorFlow Flask Kotlin database management
42,cybersecurity cryptography Flask Kubernetes
43,AWS Arduino
44,Unix Linux
45,Kubernetes R
46,python firewall Arduino
47,neural networks javascript VMware
48,SQL Django
49,Unix network security
50,penetration testing Ruby on Rails
51,cloud computing TensorFlow Linux Kubernetes
52,Unity Unix mobile app development
53,cybersecurity big data penetration testing ethical hacking
54,Java Linux firewall
55,game development web development
56,python Docker Windows Server
57,Docker game development
58,web development cryptography
59,game development web development
60,Tableau web development
61,neural networks Selenium penetration testing Django
62,Unix network security
63,VMware Ruby on Rails neural networks Hadoop
64,database management penetration testing
65,agile Spark Hadoop
66,javascript ethical hacking database management
67,big data Tableau
68,neural networks mobile app development
69,Unix Java
70,Spark Kotlin
71,C++ neural networks web development
72,Windows Server database management javascript
73,Unix machine learning SQL neural networks
74,Hadoop Django
75,Unity big data javascript
76,IoT development machine learning
77,TensorFlow C++ software testing
78,Windows Server penetration testing Django
79,mobile app development software testing
80,javascript Docker
81,Unix javascript R Docker
82,Flask Linux cloud computing
83,Flask SQL
84,web development Kubernetes
85,neural networks big data
86,VMware neural networks
87,Kubernetes data analysis blockchain SQL
88,penetration testing Docker VMware
89,R TensorFlow Unity penetration testing
90,R neural networks TensorFlow big data
91,penetration testing ethical hacking
92,C++ R web development
93,C++ blockchain
94,database management web development Unix Unity
95,TensorFlow network security agile web development
96,Arduino software testing
97,Java Unix
98,cybersecurity blockchain ethical hacking Linux
99,penetration testing Windows Server
100,penetration testing database management network security
101,firewall database management Windows Server
102,Selenium software testing
103,Unity Tableau cryptography TensorFlow
104,Django TensorFlow javascript SQL
105,Spark Selenium data analysis machine learning
106,network security cryptography TensorFlow
107,Java Windows Server
108,Spark Windows Server machine learning firewall
109,AWS Unix
110,Arduino Docker
111,AWS Spark network security data analysis
112,Arduino data analysis agile
113,neural networks penetration testing
114,agile Windows Server
115,blockchain AWS neural networks
116,Kotlin Hadoop
117,Kotlin Tableau
118,penetration testing neural networks Selenium
119,database management IoT development
120,Ruby on Rails game development
121,C++ agile
122,game development python penetration testing
123,big data Tableau
124,web development Selenium agile
125,Flask big data Unix Tableau
126,firewall TensorFlow
127,Docker TensorFlow
128,database management Kubernetes
129,agile R Spark
130,Flask firewall IoT development VMware
131,TensorFlow data analysis
132,Spark machine learning Linux Unix
133,penetration testing mobile app development Arduino Spark
134,penetration testing Tableau
135,R penetration testing firewall cybersecurity
136,cybersecurity penetration testing Hadoop R
137,software testing Windows Server network security
138,Hadoop penetration testing
139,Kotlin blockchain VMware
140,big data Windows Server machine learning
141,software testing Unity Spark
142,Kubernetes ethical hacking R C++
143,Java Unity Flask
144,cloud computing penetration testing SQL
145,Flask penetration testing cryptography
146,Tableau SQL neural networks cybersecurity
147,mobile app development AWS
148,data analysis neural networks
149,blockchain web development C++
150,cryptography VMware mobile app development
151,IoT development Django big data neural networks
152,ethical hacking machine learning
153,Spark game development
154,Linux C++
155,Windows Server neural networks
156,C++ network security
157,penetration testing Linux Windows Server
158,R Java blockchain Flask
159,Windows Server Java cloud computing
160,Ruby on Rails Java TensorFlow neural networks
161,Selenium Linux Django cryptography
162,Selenium Java
163,software testing neural networks
164,Tableau R Unix
165,network security AWS
166,IoT development AWS
167,Unity web development Hadoop Tableau
168,C++ Hadoop javascript Unity
169,IoT development Docker python
170,IoT development Ruby on Rails machine learning agile
171,IoT development Hadoop Unix
172,Unix Kubernetes game development Django
173,Selenium Spark
174,python IoT development Tableau
175,big data cloud computing C++ network security
176,Unix python big data Docker
177,penetration testing python SQL ethical hacking
178,network security C++ Kotlin
179,TensorFlow IoT development
