job_id,job_title,company,location,job_description,skills_required,label
101,Backend Developer,Microsoft,Mecca,We are looking for a backend developer with expertise in VMware and Hadoop.,agile blockchain,1
102,Database Administrator,Amazon,Tabuk,We are looking for a database administrator with expertise in VMware and Tableau.,Tableau Arduino,0
103,Data Scientist,Google,Abha,We are looking for a data scientist with expertise in TensorFlow and cybersecurity.,Unity Linux,1
104,AI Specialist,IBM,Mecca,We are looking for a ai specialist with expertise in Unity and Arduino.,machine learning TensorFlow,0
105,Game Developer,Electronic Arts,Mecca,We are looking for a game developer with expertise in Ruby on Rails and Unix.,cryptography agile,0
106,Game Developer,Apple,Khobar,We are looking for a game developer with expertise in Flask and Kubernetes.,Tableau neural networks,1
107,Network Security Analyst,Cisco,Mecca,We are looking for a network security analyst with expertise in Docker and cybersecurity.,ethical hacking Kotlin,0
108,Database Administrator,Yahoo,Khobar,We are looking for a database administrator with expertise in python and Unix.,AWS agile,0
109,Frontend Developer,Facebook,Taif,We are looking for a frontend developer with expertise in data analysis and Java.,neural networks Tableau,1
110,DevOps Engineer,Amazon,Jeddah,We are looking for a devops engineer with expertise in Spark and Unity.,data analysis web development,0
111,Software Engineer,IBM,Dammam,We are looking for a software engineer with expertise in blockchain and R.,Tableau penetration testing,0
112,Network Engineer,Intel,Khobar,We are looking for a network engineer with expertise in penetration testing and database management.,Docker R,1
113,Blockchain Developer,Oracle,Dammam,We are looking for a blockchain developer with expertise in Flask and data analysis.,Java VMware,1
114,Web Developer,SAP,Taif,We are looking for a web developer with expertise in software testing and web development.,R blockchain,1
115,Data Scientist,Red Hat,Abha,We are looking for a data scientist with expertise in web development and Kubernetes.,Arduino neural networks,0
116,Software Engineer,Salesforce,Tabuk,We are looking for a software engineer with expertise in Spark and game development.,VMware Selenium,0
117,Mobile App Developer,Google,Mecca,We are looking for a mobile app developer with expertise in Docker and Ruby on Rails.,software testing IoT development,0
118,Game Developer,Red Hat,Mecca,We are looking for a game developer with expertise in cybersecurity and Tableau.,Docker AWS,0
119,System Administrator,Apple,Jeddah,We are looking for a system administrator with expertise in C++ and firewall.,Django database management,1
120,Full Stack Developer,Dell,Medina,We are looking for a full stack developer with expertise in Kubernetes and cloud computing.,Flask Kotlin,1
